iter	RMSE
0	8808.387823
1	8584.418833
2	8374.258843
3	8172.978412
4	7965.755215
5	7776.581183
6	7586.951491
7	7397.193763
8	7217.114994
9	7037.430373
10	6862.301953
11	6691.108523
12	6524.473479
13	6362.00375
14	6209.110863
15	6057.067907
16	5917.117299
17	5772.538076
18	5632.261966
19	5499.699027
20	5369.256739
21	5242.372426
22	5122.154515
23	5000.400921
24	4886.294549
25	4777.186793
26	4668.119646
27	4560.592016
28	4458.556155
29	4359.158492
30	4259.599587
31	4161.862438
32	4067.839395
33	3978.459164
34	3886.37761
35	3799.250444
36	3713.667509
37	3633.559206
38	3552.153392
39	3477.223601
40	3407.562741
41	3335.575314
42	3264.108382
43	3198.36093
44	3131.22951
45	3067.259911
46	3010.034599
47	2948.234834
48	2888.726897
49	2830.462021
50	2776.832719
51	2718.04084
52	2671.280168
53	2622.75377
54	2574.377345
55	2525.291768
56	2476.818205
57	2431.949303
58	2384.278371
59	2345.281906
60	2299.695945
61	2259.110368
62	2219.949992
63	2181.669698
64	2143.054028
65	2110.786712
66	2075.590415
67	2044.469867
68	2008.801518
69	1974.617267
70	1942.739213
71	1913.48187
72	1883.657383
73	1852.478203
74	1822.052313
75	1792.386668
76	1764.233662
77	1738.039015
78	1710.790629
79	1685.347082
80	1661.628999
81	1639.919884
82	1616.705366
83	1593.982064
84	1572.437804
85	1554.025058
86	1533.538009
87	1513.586138
88	1493.556926
89	1475.372671
90	1457.000502
91	1439.881702
92	1421.815249
93	1406.019361
94	1392.169297
95	1378.326618
96	1362.734155
97	1347.413877
98	1334.162817
99	1320.966764
100	1307.901647
101	1294.363586
102	1281.83799
103	1268.727996
104	1257.888189
105	1244.838298
106	1233.422943
107	1221.574773
108	1211.332652
109	1200.755419
110	1190.472822
111	1180.180253
112	1170.826473
113	1162.418321
114	1152.077468
115	1142.273025
116	1132.832925
117	1123.411127
118	1114.769547
119	1107.748531
120	1100.359351
121	1092.12223
122	1084.708387
123	1076.897848
124	1070.069518
125	1063.534336
126	1055.759893
127	1049.140198
128	1043.715127
129	1037.621042
130	1032.205086
131	1025.551083
132	1018.832409
133	1013.00644
134	1008.529355
135	1003.702476
136	999.6898784
137	993.0891134
138	987.2059004
139	983.0698745
140	979.1112124
141	975.4460692
142	970.0374841
143	966.5228544
144	962.6772374
145	958.5243234
146	954.8050776
147	949.4278298
148	944.1380814
149	940.8315983
150	937.7789347
151	933.4426527
152	929.7079161
153	925.5522593
154	921.973617
155	919.1767144
156	916.0022043
157	913.0068462
158	909.4704982
159	906.1908947
160	903.1731438
161	899.9703713
162	896.4228416
163	893.1657271
164	891.1791685
165	888.8597631
166	886.9805288
167	884.5601656
168	880.6712369
169	878.6619245
170	876.5737871
171	873.7671605
172	871.3257571
173	868.6466054
174	866.6194295
175	864.8280123
176	861.5973969
177	859.866193
178	857.4494775
179	855.8245479
180	853.8662889
181	852.3374403
182	848.9780052
183	847.6193265
184	845.2063574
185	843.9982225
186	841.9954939
187	839.6910059
188	838.2707269
189	836.6210592
190	834.1820813
191	832.7536341
192	831.6416777
193	829.3725479
194	826.9443345
195	825.5946691
196	824.5524782
197	823.6931921
198	822.6978431
199	821.6218231
200	820.3359152
201	818.5911497
202	816.1966523
203	813.637292
204	812.1956524
205	810.868694
206	808.429236
207	806.7181752
208	805.1110394
209	804.1788393
210	803.2365337
211	800.7877558
212	799.7656875
213	798.4046733
214	796.9170255
215	796.2416928
216	795.3270335
217	794.1011883
218	792.7779754
219	789.8883034
220	789.100126
221	788.3283094
222	786.8647619
223	785.8220519
224	784.2396175
225	783.5145731
226	781.9313232
227	779.9097933
228	779.1478211
229	778.5140429
230	777.5007681
231	776.2291463
232	775.3267152
233	773.695536
234	771.4147022
235	770.7965177
236	769.2474136
237	768.4507868
238	767.9160883
239	766.9792433
240	765.9294478
241	765.2413362
242	763.3675786
243	762.5595938
244	761.6237077
245	760.9685829
246	760.4069338
247	759.3401941
248	758.6707981
249	757.1909724
250	756.2352826
251	754.8541203
252	754.3963097
253	752.9884811
254	752.5905079
255	751.3593821
256	750.8823644
257	749.9100435
258	748.7016275
259	746.7035032
260	745.8058085
261	745.244728
262	744.6061767
263	743.9604035
264	743.5393178
265	743.2292773
266	742.2132615
267	741.2000348
268	740.5255799
269	739.7187349
270	739.3418508
271	737.9943189
272	736.8592882
273	735.939165
274	735.2868666
275	734.6443491
276	734.0351064
277	733.3653628
278	732.7641657
279	731.3096433
280	730.6857977
281	729.9795661
282	729.6153687
283	729.1455859
284	728.7206823
285	728.1358049
286	727.6396426
287	727.0384908
288	725.9776302
289	725.5056468
290	725.0155494
291	724.5478312
292	724.1726618
293	723.4530518
294	722.9115571
295	721.7372138
296	721.074136
297	720.5927157
298	719.3241379
299	718.3750823
300	717.5945948
301	717.0456044
302	716.2456655
303	715.6006603
304	715.0704039
305	713.8411775
306	713.2078233
307	712.8050924
308	712.2009316
309	711.6136784
310	711.2501928
311	710.7439092
312	709.8617219
313	709.2494241
314	708.211541
315	707.816545
316	706.8226463
317	705.8330622
318	705.166236
319	704.4838547
320	703.7188546
321	703.3080904
322	702.5807877
323	701.6721627
324	700.7255621
325	700.3488411
326	700.0563909
327	699.4645757
328	699.0094756
329	698.5312867
330	698.1467601
331	697.5102872
332	696.6457274
333	695.9694407
334	695.4724961
335	694.8846493
336	693.9513912
337	693.5520353
338	693.1601378
339	692.590815
340	692.063257
341	691.7052135
342	691.2349733
343	690.825332
344	690.3567107
345	689.5449769
346	689.1672485
347	688.3579407
348	687.5233483
349	686.8919762
350	686.011781
351	685.4655543
352	684.8145444
353	684.4873611
354	683.9720576
355	683.6222728
356	683.1180472
357	682.6989902
358	682.0225621
359	681.5489862
360	681.160819
361	680.7757112
362	680.4617069
363	679.8473507
364	679.4759105
365	678.9716675
366	678.5373307
367	678.0595616
368	677.4216091
369	677.1388873
370	676.8126138
371	676.5198577
372	676.2971977
373	675.5335091
374	674.6849599
375	674.2094796
376	673.442974
377	672.9871608
378	672.4805057
379	672.0400253
380	671.5746214
381	671.1206485
382	670.4410097
383	670.0421224
384	669.3917422
385	668.9269239
386	668.6079071
387	668.1856392
388	667.8116679
389	667.4032794
390	667.0119982
391	666.6794235
392	666.1044395
393	665.6795372
394	665.3186
395	664.9303794
396	664.5143233
397	664.0729291
398	663.5159188
399	663.1775795
400	662.8709393
401	662.4728862
402	662.1822682
403	661.7907523
404	661.1216063
405	660.7529731
406	660.2561109
407	659.8718828
408	659.6001562
409	659.0969697
410	658.6750626
411	658.3375746
412	658.068196
413	657.6970351
414	657.4079637
415	657.0742514
416	656.730941
417	656.5071012
418	656.0869142
419	655.7404319
420	655.1832255
421	654.7608744
422	654.3829664
423	654.0833065
424	653.7672341
425	653.3873423
426	652.9491591
427	652.5862935
428	652.1343346
429	651.9357696
430	651.5959004
431	651.2777114
432	651.0338148
433	650.8262098
434	650.5196817
435	650.2369823
436	650.0329374
437	649.623291
438	649.1048489
439	648.5791923
440	648.3588501
441	647.7727569
442	647.411399
443	646.9368894
444	646.5228667
445	646.0829468
446	645.6970389
447	645.4006319
448	644.9663959
449	644.6525544
450	644.49207
451	643.8184098
452	643.4737026
453	642.9371403
454	642.6668777
455	642.3773842
456	641.9881108
457	641.6721419
458	641.2594085
459	641.0104147
460	640.5409033
461	640.2235581
462	639.9732341
463	639.5076688
464	639.0953272
465	638.8546667
466	638.5698178
467	638.2726539
468	637.8874614
469	637.6765278
470	637.4136798
471	637.0631935
472	636.7282447
473	636.4276097
474	636.2610329
475	635.8852024
476	635.5719627
477	635.2286123
478	635.0241946
479	634.7933582
480	634.4768835
481	634.1754674
482	633.810806
483	633.5734398
484	633.2369804
485	632.9454584
486	632.6616423
487	632.377119
488	632.0936809
489	631.8280564
490	631.5267546
491	631.2200015
492	630.945326
493	630.7748226
494	630.5487141
495	630.124274
496	629.7954628
497	629.4298335
498	629.243616
499	628.7105141
500	628.3962175
501	628.1164199
502	627.8550549
503	627.5926263
504	627.3940179
505	627.1172328
506	626.8225223
507	626.4300039
508	626.038689
509	625.7949706
510	625.5505867
511	625.3197811
512	625.1011046
513	624.959678
514	624.6795903
515	624.486201
516	624.2778412
517	623.8380975
518	623.6784016
519	623.2525697
520	623.0404057
521	622.7799755
522	622.5087749
523	622.220454
524	622.0121801
525	621.7436933
526	621.4804362
527	621.1685773
528	620.900929
529	620.6938414
530	620.4130296
531	620.1319865
532	619.8819548
533	619.7410126
534	619.5318043
535	619.2241179
536	618.9355291
537	618.7028139
538	618.3715613
539	617.8792482
540	617.6738426
541	617.3621452
542	617.1312632
543	616.8460272
544	616.6305605
545	616.3748145
546	616.1618615
547	615.8787635
548	615.4902665
549	615.2936716
550	614.980122
551	614.7539624
552	614.4749469
553	614.2289863
554	614.0503049
555	613.8263293
556	613.378389
557	613.084079
558	612.8524362
559	612.5589476
560	612.3151113
561	612.115535
562	611.9160246
563	611.7317407
564	611.4990093
565	611.186457
566	610.9692313
567	610.7392436
568	610.5473783
569	610.266834
570	610.0633277
571	609.7503211
572	609.4417284
573	609.2908869
574	609.0653739
575	608.8490481
576	608.6808886
577	608.5444107
578	608.3624682
579	608.089872
580	607.8395344
581	607.6379456
582	607.4433508
583	607.2593831
584	607.1184479
585	606.8330604
586	606.6692275
587	606.4446917
588	606.1636824
589	605.7715977
590	605.5499453
591	605.2912452
592	605.0463733
593	604.8543493
594	604.397111
595	604.2397208
596	604.0586642
597	603.8985608
598	603.6052961
599	603.3497503
600	603.0593402
601	602.7605717
602	602.5723923
603	602.3067338
604	602.0619554
605	601.8693712
606	601.5529903
607	601.3792415
608	601.1421198
609	600.8512709
610	600.563007
611	600.3635831
612	600.022806
613	599.8514464
614	599.6254846
615	599.4438448
616	599.1752466
617	598.9038292
618	598.7331963
619	598.5620979
620	598.324977
621	598.0869374
622	597.9241256
623	597.7101701
624	597.5394712
625	597.3446197
626	597.0968159
627	596.8722864
628	596.6203392
629	596.3877911
630	596.0942064
631	595.841697
632	595.5870265
633	595.2826535
634	595.1653574
635	595.0207122
636	594.7943937
637	594.5695182
638	594.4078239
639	594.2439511
640	594.022224
641	593.8621134
642	593.6584725
643	593.4892155
644	593.2498066
645	592.9682512
646	592.8133824
647	592.5067578
648	592.3615203
649	592.1351116
650	591.898291
651	591.6111631
652	591.3604355
653	591.1469709
654	590.9994845
655	590.8027009
656	590.6232459
657	590.3051034
658	590.1537589
659	589.9134151
660	589.7104378
661	589.4975254
662	589.2394405
663	588.9686354
664	588.7675775
665	588.4766121
666	588.2379137
667	587.9685698
668	587.7211442
669	587.5400039
670	587.2950534
671	587.042993
672	586.8527892
673	586.6544079
674	586.3281904
675	586.130676
676	585.9650769
677	585.7481028
678	585.543988
679	585.416027
680	585.2028699
681	585.00637
682	584.6555586
683	584.4437204
684	584.1160291
685	583.9101341
686	583.7072569
687	583.4999349
688	583.3266862
689	583.0145809
690	582.8404475
691	582.6944169
692	582.5374749
693	582.4290352
694	582.2498967
695	582.0435558
696	581.7933974
697	581.5732607
698	581.3893311
699	581.2260991
700	581.0298989
701	580.8922021
702	580.6452592
703	580.4361271
704	580.2147294
705	580.0661061
706	579.8809803
707	579.6153288
708	579.4600056
709	579.3032178
710	579.0660602
711	578.8788344
712	578.7308259
713	578.4940588
714	578.2409099
715	577.9960336
716	577.8257868
717	577.5858816
718	577.2907736
719	577.1233882
720	576.8642975
721	576.6935076
722	576.5390353
723	576.3966466
724	576.2364615
725	576.0388964
726	575.8626255
727	575.7571494
728	575.4724814
729	575.2315753
730	575.0905309
731	574.9777736
732	574.7629835
733	574.615818
734	574.4590834
735	574.2551927
736	574.0911176
737	573.8708227
738	573.7613177
739	573.544382
740	573.3516089
741	573.1458325
742	572.938117
743	572.8211057
744	572.6066076
745	572.4108337
746	572.2434614
747	572.0683577
748	571.7782847
749	571.6350924
750	571.4652331
751	571.2612504
752	570.9722901
753	570.8092558
754	570.5971834
755	570.4422317
756	570.2219536
757	570.0632515
758	569.8826512
759	569.6773003
760	569.5055069
761	569.3684294
762	569.23141
763	569.0270925
764	568.9006465
765	568.7441617
766	568.5961272
767	568.4291318
768	568.2451483
769	568.1118662
770	567.965864
771	567.7618109
772	567.5917635
773	567.3867337
774	567.1942394
775	566.9809719
776	566.8487421
777	566.6857087
778	566.5210199
779	566.3557121
780	566.2096863
781	565.9254104
782	565.7676373
783	565.6186439
784	565.4923358
785	565.287105
786	565.124593
787	564.9255341
