iter	Passed	Remaining
0	2	2498
1	4	2250
2	6	2184
3	8	2090
4	10	1998
5	12	2007
6	15	2146
7	17	2169
8	29	3276
9	32	3233
10	35	3219
11	64	5341
12	68	5168
13	70	4946
14	73	4820
15	97	6015
16	100	5795
17	103	5670
18	106	5521
19	110	5433
20	114	5344
21	118	5249
22	120	5130
23	123	5012
24	126	4915
25	128	4824
26	132	4758
27	135	4691
28	137	4608
29	140	4532
30	143	4470
31	145	4401
32	148	4357
33	151	4312
34	154	4263
35	157	4214
36	160	4175
37	163	4131
38	165	4089
39	169	4061
40	172	4030
41	175	3997
42	237	5275
43	240	5215
44	242	5137
45	244	5071
46	247	5009
47	249	4955
48	251	4887
49	254	4829
50	258	4801
51	260	4747
52	264	4724
53	266	4673
54	270	4639
55	273	4610
56	275	4565
57	277	4512
58	280	4477
59	282	4432
60	285	4389
61	287	4350
62	289	4312
63	292	4270
64	295	4244
65	297	4216
66	300	4191
67	322	4424
68	324	4384
69	326	4343
70	329	4312
71	331	4275
72	359	4559
73	361	4525
74	364	4492
75	366	4458
76	369	4430
77	371	4392
78	373	4359
79	376	4327
80	378	4299
81	382	4278
82	385	4254
83	387	4230
84	390	4203
85	393	4178
86	396	4156
87	398	4133
88	401	4111
89	404	4089
90	406	4064
91	409	4041
92	412	4022
93	415	4001
94	417	3980
95	420	3959
96	422	3935
97	425	3920
98	429	3905
99	431	3887
100	434	3864
101	436	3844
102	441	3843
103	444	3829
104	447	3813
105	451	3811
106	455	3797
107	457	3780
108	461	3769
109	464	3754
110	467	3742
111	470	3729
112	473	3715
113	475	3695
114	479	3686
115	484	3693
116	487	3678
117	490	3665
118	493	3653
119	496	3640
120	499	3629
121	502	3614
122	505	3602
123	508	3590
124	513	3592
125	516	3582
126	519	3573
127	522	3557
128	525	3547
129	529	3542
130	565	3752
131	568	3736
132	571	3724
133	574	3711
134	577	3699
135	579	3682
136	582	3666
137	584	3649
138	587	3640
139	592	3637
140	594	3624
141	600	3627
142	602	3613
143	605	3597
144	607	3583
145	610	3570
146	615	3572
147	617	3557
148	621	3548
149	624	3536
150	626	3523
151	629	3512
152	631	3497
153	634	3484
154	637	3473
155	645	3492
156	648	3479
157	650	3467
158	653	3457
159	656	3446
160	664	3464
161	668	3457
162	671	3446
163	673	3434
164	676	3422
165	681	3422
166	684	3415
167	688	3409
168	691	3399
169	696	3400
170	699	3390
171	703	3387
172	707	3383
173	710	3373
174	729	3440
175	733	3431
176	735	3418
177	738	3408
178	760	3487
179	763	3478
180	766	3469
181	769	3459
182	775	3462
183	778	3451
184	781	3440
185	783	3430
186	786	3420
187	789	3408
188	792	3398
189	794	3387
190	797	3377
191	801	3373
192	804	3364
193	807	3353
194	810	3344
195	812	3334
196	816	3327
197	819	3320
198	822	3311
199	826	3304
200	829	3295
201	832	3288
202	835	3279
203	838	3270
204	841	3262
205	844	3254
206	848	3250
207	851	3243
208	874	3308
209	886	3334
210	888	3321
211	891	3313
212	923	3411
213	932	3424
214	935	3415
215	938	3405
216	940	3393
217	942	3381
218	944	3369
219	947	3360
220	950	3349
221	952	3338
222	956	3334
223	960	3327
224	963	3319
225	966	3310
226	970	3303
227	973	3296
228	977	3292
229	980	3283
230	984	3277
231	988	3270
232	992	3265
233	994	3256
234	997	3246
235	1015	3286
236	1018	3277
237	1020	3268
238	1045	3327
239	1047	3317
240	1050	3308
241	1053	3299
242	1056	3290
243	1093	3386
244	1097	3382
245	1101	3375
246	1104	3365
247	1106	3354
248	1109	3347
249	1113	3341
250	1116	3331
251	1120	3326
252	1123	3318
253	1126	3309
254	1129	3299
255	1131	3287
256	1134	3279
257	1137	3270
258	1169	3346
259	1173	3338
260	1176	3329
261	1179	3321
262	1181	3311
263	1184	3301
264	1186	3290
265	1188	3280
266	1192	3272
267	1196	3267
268	1198	3257
269	1201	3247
270	1204	3239
271	1206	3229
272	1208	3219
273	1211	3211
274	1216	3208
275	1219	3199
276	1224	3196
277	1228	3191
278	1234	3190
279	1237	3182
280	1240	3174
281	1243	3165
282	1246	3159
283	1249	3151
284	1252	3142
285	1255	3134
286	1260	3130
287	1262	3122
288	1266	3115
289	1269	3108
290	1273	3102
291	1277	3096
292	1305	3149
293	1327	3188
294	1330	3179
295	1333	3171
296	1336	3163
297	1338	3153
298	1341	3145
299	1344	3137
300	1357	3151
301	1359	3142
302	1362	3134
303	1365	3127
304	1387	3160
305	1389	3151
306	1392	3144
307	1395	3134
308	1397	3125
309	1400	3117
310	1403	3109
311	1406	3101
312	1409	3094
313	1412	3086
314	1415	3078
315	1418	3069
316	1420	3060
317	1423	3052
318	1425	3043
319	1427	3034
320	1430	3025
321	1433	3017
322	1435	3009
323	1438	3001
324	1442	2995
325	1445	2988
326	1448	2980
327	1450	2972
328	1454	2965
329	1457	2958
330	1460	2951
331	1477	2971
332	1480	2964
333	1483	2957
334	1485	2949
335	1498	2960
336	1500	2952
337	1503	2945
338	1506	2938
339	1518	2947
340	1520	2938
341	1532	2948
342	1555	2978
343	1558	2971
344	1561	2964
345	1564	2957
346	1583	2979
347	1586	2972
348	1588	2963
349	1591	2956
350	1595	2949
351	1598	2941
352	1600	2933
353	1614	2945
354	1617	2938
355	1620	2930
356	1636	2948
357	1656	2971
358	1659	2963
359	1663	2956
360	1665	2947
361	1667	2939
362	1670	2931
363	1673	2924
364	1675	2914
365	1678	2907
366	1680	2898
367	1683	2891
368	1725	2951
369	1744	2970
370	1746	2961
371	1750	2955
372	1754	2948
373	1756	2940
374	1759	2932
375	1761	2923
376	1764	2915
377	1767	2907
378	1770	2900
379	1788	2917
380	1791	2910
381	1794	2902
382	1800	2900
383	1802	2891
384	1814	2899
385	1825	2904
386	1828	2897
387	1831	2889
388	1833	2880
389	1849	2892
390	1853	2887
391	1856	2879
392	1859	2872
393	1862	2864
394	1865	2857
395	1869	2850
396	1872	2844
397	1875	2836
398	1877	2828
399	1880	2820
400	1883	2813
401	1885	2804
402	1888	2797
403	1891	2791
404	1894	2783
405	1897	2776
406	1901	2770
407	1904	2763
408	1907	2756
409	1910	2748
410	1912	2741
411	1916	2735
412	1920	2729
413	1923	2722
414	1926	2715
415	1929	2708
416	1938	2710
417	1941	2703
418	1953	2709
419	1956	2702
420	1959	2695
421	1963	2688
422	1975	2694
423	1978	2688
424	1981	2681
425	1984	2673
426	1987	2666
427	1990	2659
428	1993	2652
429	1995	2645
430	1998	2638
431	2002	2633
432	2005	2626
433	2008	2619
434	2012	2613
435	2016	2607
436	2018	2600
437	2021	2594
438	2024	2587
439	2027	2580
440	2030	2574
441	2034	2568
442	2037	2562
443	2042	2557
444	2045	2550
445	2048	2544
446	2051	2537
447	2073	2555
448	2076	2547
449	2078	2540
450	2086	2539
451	2089	2533
452	2091	2525
453	2094	2518
454	2096	2511
455	2102	2508
456	2104	2500
457	2107	2493
458	2109	2486
459	2112	2479
460	2115	2472
461	2117	2466
462	2120	2459
463	2126	2456
464	2129	2449
465	2132	2443
466	2135	2437
467	2137	2429
468	2140	2423
469	2142	2416
470	2153	2419
471	2157	2413
472	2170	2417
473	2172	2410
474	2174	2403
475	2176	2396
476	2179	2389
477	2188	2390
478	2192	2384
479	2199	2382
480	2201	2375
481	2205	2370
482	2211	2366
483	2214	2360
484	2216	2354
485	2219	2347
486	2222	2341
487	2225	2334
488	2228	2328
489	2231	2323
490	2257	2340
491	2259	2332
492	2262	2326
493	2274	2329
494	2277	2323
495	2280	2317
496	2282	2310
497	2285	2303
498	2289	2298
499	2292	2292
500	2295	2286
501	2297	2279
502	2300	2273
503	2303	2267
504	2306	2260
505	2309	2254
506	2312	2248
507	2314	2242
508	2318	2236
509	2321	2230
510	2323	2223
511	2326	2217
512	2338	2220
513	2340	2213
514	2353	2216
515	2356	2210
516	2359	2204
517	2362	2198
518	2401	2225
519	2403	2218
520	2423	2228
521	2426	2222
522	2430	2216
523	2433	2210
524	2436	2204
525	2440	2198
526	2442	2192
527	2448	2188
528	2451	2183
529	2454	2176
530	2456	2170
531	2460	2164
532	2463	2158
533	2466	2152
534	2468	2145
535	2471	2139
536	2474	2133
537	2478	2128
538	2480	2121
539	2483	2115
540	2485	2108
541	2488	2102
542	2491	2097
543	2494	2091
544	2497	2084
545	2504	2082
546	2507	2076
547	2510	2070
548	2513	2064
549	2520	2062
550	2524	2057
551	2545	2066
552	2560	2069
553	2563	2064
554	2567	2058
555	2570	2052
556	2575	2048
557	2578	2042
558	2581	2036
559	2586	2031
560	2591	2027
561	2594	2022
562	2600	2018
563	2603	2012
564	2606	2006
565	2609	2001
566	2612	1995
567	2615	1989
568	2628	1991
569	2631	1985
570	2634	1979
571	2637	1973
572	2660	1982
573	2663	1976
574	2666	1971
575	2681	1973
576	2684	1967
577	2686	1961
578	2690	1956
579	2692	1949
580	2695	1943
581	2698	1938
582	2701	1932
583	2705	1927
584	2708	1921
585	2711	1915
586	2714	1909
587	2717	1903
588	2721	1898
589	2723	1892
590	2726	1887
591	2729	1881
592	2732	1875
593	2735	1869
594	2738	1863
595	2741	1858
596	2744	1852
597	2749	1848
598	2754	1843
599	2757	1838
600	2760	1832
601	2763	1827
602	2767	1821
603	2769	1815
604	2773	1810
605	2775	1804
606	2778	1798
607	2782	1794
608	2786	1788
609	2789	1783
610	2792	1777
611	2794	1771
612	2798	1766
613	2801	1761
614	2804	1755
615	2807	1750
616	2819	1750
617	2822	1744
618	2825	1739
619	2828	1733
620	2839	1733
621	2843	1727
622	2845	1722
623	2857	1721
624	2860	1716
625	2870	1715
626	2873	1709
627	2876	1704
628	2879	1698
629	2884	1694
630	2887	1688
631	2890	1683
632	2893	1677
633	2896	1672
634	2899	1666
635	2902	1661
636	2904	1655
637	2907	1649
638	2910	1644
639	2913	1638
640	2916	1633
641	2920	1628
642	2923	1622
643	2925	1617
644	2928	1611
645	2932	1606
646	2934	1601
647	2937	1595
648	2941	1590
649	2943	1585
650	2946	1579
651	3017	1610
652	3037	1614
653	3039	1608
654	3043	1602
655	3046	1597
656	3049	1592
657	3051	1586
658	3054	1580
659	3057	1575
660	3059	1569
661	3062	1563
662	3066	1558
663	3068	1552
664	3071	1547
665	3073	1541
666	3076	1535
667	3078	1530
668	3081	1524
669	3083	1518
670	3085	1513
671	3088	1507
672	3091	1502
673	3094	1496
674	3104	1494
675	3107	1489
676	3110	1484
677	3114	1479
678	3118	1474
679	3121	1468
680	3123	1463
681	3126	1457
682	3129	1452
683	3132	1447
684	3134	1441
685	3137	1435
686	3139	1430
687	3142	1425
688	3145	1420
689	3159	1419
690	3161	1413
691	3184	1417
692	3187	1411
693	3189	1406
694	3192	1401
695	3205	1400
696	3208	1394
697	3211	1389
698	3214	1384
699	3226	1382
700	3229	1377
701	3232	1372
702	3236	1367
703	3239	1362
704	3243	1357
705	3246	1352
706	3250	1346
707	3253	1341
708	3258	1337
709	3263	1332
710	3265	1327
711	3269	1322
712	3271	1316
713	3274	1311
714	3278	1306
715	3280	1301
716	3291	1299
717	3295	1294
718	3298	1289
719	3301	1283
720	3303	1278
721	3306	1273
722	3309	1267
723	3312	1262
724	3315	1257
725	3319	1252
726	3322	1247
727	3325	1242
728	3328	1237
729	3331	1232
730	3333	1226
731	3336	1221
732	3339	1216
733	3341	1211
734	3345	1206
735	3348	1201
736	3351	1195
737	3354	1191
738	3357	1185
739	3359	1180
740	3366	1176
741	3370	1171
742	3373	1166
743	3377	1162
744	3381	1157
745	3388	1153
746	3390	1148
747	3394	1143
748	3396	1138
749	3400	1133
750	3402	1128
751	3405	1123
752	3409	1118
753	3413	1113
754	3416	1108
755	3419	1103
756	3421	1098
757	3424	1093
758	3427	1088
759	3430	1083
760	3432	1077
761	3434	1072
762	3437	1067
763	3485	1076
764	3488	1071
765	3490	1066
766	3493	1061
767	3496	1056
768	3500	1051
769	3501	1046
770	3503	1040
771	3509	1036
772	3514	1031
773	3516	1026
774	3519	1021
775	3522	1016
776	3524	1011
777	3528	1006
778	3530	1001
779	3534	996
780	3537	991
781	3540	987
782	3545	982
783	3548	977
784	3552	972
785	3555	968
786	3558	963
787	3562	958
788	3564	953
789	3567	948
790	3570	943
791	3574	938
792	3577	933
793	3579	928
794	3582	923
795	3586	919
796	3590	914
797	3594	909
798	3597	904
799	3610	902
800	3623	900
801	3626	895
802	3629	890
803	3651	890
804	3654	885
805	3657	880
806	3660	875
807	3664	870
808	3668	866
809	3671	861
810	3675	856
811	3678	851
812	3682	846
813	3685	842
814	3688	837
815	3691	832
816	3693	827
817	3697	822
818	3700	817
819	3702	812
820	3705	807
821	3708	803
822	3711	798
823	3714	793
824	3718	788
825	3722	784
826	3725	779
827	3729	774
828	3732	769
829	3735	765
830	3737	760
831	3741	755
832	3744	750
833	3747	745
834	3750	741
835	3755	736
836	3757	731
837	3759	726
838	3762	722
839	3777	719
840	3780	714
841	3783	710
842	3786	705
843	3796	701
844	3813	699
845	3816	694
846	3818	689
847	3821	685
848	3824	680
849	3840	677
850	3844	673
851	3854	669
852	3857	664
853	3860	660
854	3864	655
855	3868	650
856	3871	646
857	3898	645
858	3902	640
859	3905	635
860	3907	630
861	3910	625
862	3913	621
863	3915	616
864	3919	611
865	3922	606
866	3924	602
867	3927	597
868	3930	592
869	3932	587
870	3937	583
871	3939	578
872	3942	573
873	3944	568
874	3947	563
875	3951	559
876	3953	554
877	3956	549
878	3959	545
879	3961	540
880	3965	535
881	3968	530
882	3971	526
883	3974	521
884	3978	516
885	3981	512
886	3985	507
887	3988	503
888	3992	498
889	3996	493
890	4000	489
891	4003	484
892	4007	480
893	4010	475
894	4014	471
895	4018	466
896	4023	461
897	4026	457
898	4029	452
899	4032	448
900	4049	444
901	4052	440
902	4056	435
903	4059	431
904	4070	427
905	4074	422
906	4077	418
907	4080	413
908	4132	413
909	4136	409
910	4139	404
911	4152	400
912	4155	395
913	4159	391
914	4173	387
915	4175	382
916	4178	378
917	4181	373
918	4184	368
919	4186	364
920	4188	359
921	4191	354
922	4194	349
923	4197	345
924	4200	340
925	4203	335
926	4205	331
927	4209	326
928	4211	321
929	4214	317
930	4218	312
931	4221	308
932	4224	303
933	4227	298
934	4231	294
935	4259	291
936	4262	286
937	4265	281
938	4267	277
939	4269	272
940	4272	267
941	4275	263
942	4278	258
943	4280	253
944	4283	249
945	4287	244
946	4290	240
947	4294	235
948	4298	230
949	4301	226
950	4304	221
