  22 wind speed [m/s]          pitch [deg]     rot. speed [rpm] 
             4.000000             2.340318             6.000000 
             5.000000             1.521543             6.000000 
             6.000000             0.434381             6.000000 
             7.000000             0.000535             6.220859 
             8.000000             0.000535             7.107750 
             9.000000             0.000535             7.995294 
            10.000000             0.000535             8.885679 
            11.000000             0.000535             9.600000 
            12.000000             4.064426             9.600000 
            13.000000             6.668835             9.600000 
            14.000000             8.606322             9.600000 
            15.000000            10.246610             9.600000 
            16.000000            11.723403             9.600000 
            17.000000            13.085196             9.600000 
            18.000000            14.363658             9.600000 
            19.000000            15.585395             9.600000 
            20.000000            16.748107             9.600000 
            21.000000            17.870984             9.600000 
            22.000000            18.960154             9.600000 
            23.000000            20.016055             9.600000 
            24.000000            21.042873             9.600000 
            25.000000            22.044439             9.600000 
